TABLE NO.     1: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       SIGMA(1,1)   SIGMA(2,1)   SIGMA(2,2)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -4973 -5.22785E-01  5.69465E+00  1.02917E+00  5.31895E-01 -1.15798E+01  3.31032E+00  1.88176E+03  0.00000E+00  2.67798E+03  4.42286E-02  0.00000E+00  1.64542E-01  0.00000E+00  4.31755E-02  1.21899E-01  0.00000E+00  4.74413E-01  3.19402E-01  2.43799E+00    4481.1005878607257
        -4972 -5.22785E-01  5.69465E+00  1.02917E+00  5.31895E-01 -1.15798E+01  3.25534E+00  1.55614E+03  0.00000E+00  2.81099E+03  4.52081E-02  0.00000E+00  1.64916E-01  0.00000E+00  5.97142E-02  1.25788E-01  0.00000E+00  4.86558E-01  3.68413E-01  2.64811E+00    4599.0815384090929
        -4971 -5.19422E-01  5.69465E+00  1.02917E+00  4.37403E-01 -1.15798E+01  3.40020E+00  1.50706E+03  0.00000E+00  2.86152E+03  5.75335E-02  0.00000E+00  1.38597E-01  0.00000E+00  4.49450E-02  1.49735E-01  0.00000E+00  4.12895E-01  4.05324E-01  2.71153E+00    4618.1677804977580
        -4970 -5.19422E-01  5.69465E+00  1.02917E+00  4.37403E-01 -1.15798E+01  3.27925E+00  1.28946E+03  0.00000E+00  2.83198E+03  5.89166E-02  0.00000E+00  1.47730E-01  0.00000E+00  3.63264E-02  1.95772E-01  0.00000E+00  4.58890E-01  4.79236E-01  3.09958E+00    4634.7202282846720
        -4969 -5.14273E-01  5.69465E+00  1.02917E+00  5.45052E-01 -1.15798E+01  3.27925E+00  9.84562E+02  0.00000E+00  2.62712E+03  5.62273E-02  0.00000E+00  1.25372E-01  0.00000E+00  4.48168E-02  1.66617E-01  0.00000E+00  4.17855E-01  4.35149E-01  3.13280E+00    4679.9806069066390
        -4968 -5.04863E-01  5.69465E+00  1.02917E+00  5.45052E-01 -1.15798E+01  3.27925E+00  1.55061E+03  0.00000E+00  3.02442E+03  5.80401E-02  0.00000E+00  1.24350E-01  0.00000E+00  7.87454E-02  2.20441E-01  0.00000E+00  4.74690E-01  6.09077E-01  3.52462E+00    4665.9846266771092
        -4967 -4.92019E-01  5.69465E+00  1.02917E+00  5.20608E-01 -1.15798E+01  3.25482E+00  1.57990E+03  0.00000E+00  2.58617E+03  5.96215E-02  0.00000E+00  1.48303E-01  0.00000E+00  9.47896E-02  2.33838E-01  0.00000E+00  5.79994E-01  6.41096E-01  3.79239E+00    4702.4018029503850
        -4966 -4.80062E-01  5.69465E+00  1.02917E+00  5.20608E-01 -1.15798E+01  3.25482E+00  1.12865E+03  0.00000E+00  2.46678E+03  5.90377E-02  0.00000E+00  1.52684E-01  0.00000E+00  9.03452E-02  1.95380E-01  0.00000E+00  5.70059E-01  6.05475E-01  3.79037E+00    4581.5630445925235
        -4965 -4.80062E-01  5.69465E+00  1.02917E+00  5.22318E-01 -1.15798E+01  3.25482E+00  1.04892E+03  0.00000E+00  2.59422E+03  6.28199E-02  0.00000E+00  1.52539E-01  0.00000E+00  1.05333E-01  2.04595E-01  0.00000E+00  5.88130E-01  7.09211E-01  4.12512E+00    4628.4628710064480
        -4964 -4.80062E-01  5.69465E+00  1.02917E+00  4.59033E-01 -1.15798E+01  3.34346E+00  1.32390E+03  0.00000E+00  2.21085E+03  5.88621E-02  0.00000E+00  1.38974E-01  0.00000E+00  8.86640E-02  2.04537E-01  0.00000E+00  5.67145E-01  7.22399E-01  4.51287E+00    4579.8164659242702
